origin,destination
73110,00601
73110,00602
73110,00603
73110,00606
73110,00610
73110,00611
73110,00612
73110,00616
73110,00617
73110,00622
73110,00623
73110,00624
73110,00627
73110,00631
73110,00636
73110,00637
73110,00638
73110,00641
73110,00646
73110,00647
73110,00650
73110,00652
73110,00653
73110,00656
73110,00659
73110,00660
73110,00662
73110,00664
73110,00667
73110,00669
73110,00670
73110,00674
73110,00676
73110,00677
73110,00678
73110,00680
73110,00682
73110,00683
73110,00685
73110,00687
73110,00688
73110,00690
73110,00692
73110,00693
73110,00694
73110,00698
73110,00703
73110,00704
73110,00705
73110,00707
73110,00714
73110,00715
73110,00716
73110,00717
73110,00718
73110,00719
73110,00720
73110,00723
73110,00725
73110,00727
73110,00728
73110,00729
73110,00730
73110,00731
73110,00735
73110,00736
73110,00738
73110,00739
73110,00740
73110,00741
73110,00745
73110,00751
73110,00754
73110,00757
73110,00765
73110,00766
73110,00767
73110,00769
73110,00771
73110,00772
73110,00773
73110,00775
73110,00777
73110,00778
73110,00780
73110,00782
73110,00783
73110,00784
73110,00786
73110,00791
73110,00794
73110,00795
73110,00802
73110,00820
73110,00830
73110,00840
73110,00850
73110,00851
73110,00901
73110,00906
73110,00907
73110,00909
73110,00911
73110,00912
73110,00913
73110,00915
73110,00917
73110,00918
73110,00920
73110,00921
73110,00923
73110,00924
73110,00925
73110,00926
73110,00927
73110,00934
73110,00949
73110,00950
73110,00951
73110,00952
73110,00953
73110,00956
73110,00957
73110,00959
73110,00960
73110,00961
73110,00962
73110,00965
73110,00966
73110,00968
73110,00969
73110,00971
73110,00976
73110,00979
73110,00982
73110,00983
73110,00985
73110,00987
73110,01001
73110,01002
73110,01003
73110,01005
73110,01007
73110,01008
73110,01009
73110,01010
73110,01011
73110,01012
73110,01013
73110,01020
73110,01022
73110,01026
73110,01027
73110,01028
73110,01029
73110,01030
73110,01031
73110,01032
73110,01033
73110,01034
73110,01035
73110,01036
73110,01037
73110,01038
73110,01039
73110,01040
73110,01050
73110,01053
73110,01054
73110,01056
73110,01057
73110,01060
73110,01062
73110,01063
73110,01066
73110,01068
73110,01069
73110,01070
73110,01071
73110,01072
73110,01073
73110,01074
73110,01075
73110,01077
73110,01079
73110,01080
73110,01081
73110,01082
73110,01083
73110,01084
73110,01085
73110,01088
73110,01089
73110,01092
73110,01093
73110,01094
73110,01095
73110,01096
73110,01097
73110,01098
73110,01103
73110,01104
73110,01105
73110,01106
73110,01107
73110,01108
73110,01109
73110,01118
73110,01119
73110,01128
73110,01129
73110,01144
73110,01151
73110,01201
73110,01220
73110,01222
73110,01223
73110,01224
73110,01225
73110,01226
73110,01229
73110,01230
73110,01235
73110,01236
73110,01237
73110,01238
73110,01240
73110,01242
73110,01243
73110,01244
73110,01245
73110,01247
73110,01253
73110,01254
73110,01255
73110,01256
73110,01257
73110,01258
73110,01259
73110,01260
73110,01262
73110,01264
73110,01266
73110,01267
73110,01270
73110,01301
73110,01330
73110,01331
73110,01337
73110,01338
73110,01339
73110,01340
73110,01341
73110,01342
73110,01343
73110,01344
73110,01346
73110,01347
73110,01349
73110,01350
73110,01351
73110,01354
73110,01355
73110,01360
73110,01364
73110,01366
73110,01367
73110,01368
73110,01370
73110,01373
73110,01375
73110,01376
73110,01378
73110,01379
73110,01380
73110,01420
73110,01430
73110,01431
73110,01432
73110,01434
73110,01436
73110,01438
73110,01440
73110,01450
73110,01451
73110,01452
73110,01453
73110,01460
73110,01462
73110,01463
73110,01464
73110,01468
73110,01469
73110,01473
73110,01474
73110,01475
73110,01501
73110,01503
73110,01504
73110,01505
73110,01506
73110,01507
73110,01510
73110,01515
73110,01516
73110,01518
73110,01519
73110,01520
73110,01521
73110,01522
73110,01523
73110,01524
73110,01525
73110,01527
73110,01529
73110,01531
73110,01532
73110,01534
73110,01535
73110,01536
73110,01537
73110,01540
73110,01541
73110,01542
73110,01543
73110,01545
73110,01550
73110,01560
73110,01561
73110,01562
73110,01564
73110,01566
73110,01568
73110,01569
73110,01570
73110,01571
73110,01581
73110,01583
73110,01585
73110,01588
73110,01590
73110,01602
73110,01603
73110,01604
73110,01605
73110,01606
73110,01607
73110,01608
73110,01609
73110,01610
73110,01611
73110,01612
73110,01701
73110,01702
73110,01718
73110,01719
73110,01720
73110,01721
73110,01730
73110,01731
73110,01740
73110,01741
73110,01742
73110,01745
73110,01746
73110,01747
73110,01748
73110,01749
73110,01752
73110,01754
73110,01756
73110,01757
73110,01760
73110,01770
73110,01772
73110,01773
73110,01775
73110,01776
73110,01778
73110,01801
73110,01803
73110,01810
73110,01821
73110,01824
73110,01826
73110,01827
73110,01830
73110,01832
73110,01833
73110,01834
73110,01835
73110,01840
73110,01841
73110,01843
73110,01844
73110,01845
73110,01850
73110,01851
73110,01852
73110,01854
73110,01860
73110,01862
73110,01863
73110,01864
73110,01867
73110,01876
73110,01879
73110,01880
73110,01886
73110,01887
73110,01890
73110,01901
73110,01902
73110,01904
73110,01905
73110,01906
73110,01907
73110,01908
73110,01913
73110,01915
73110,01921
73110,01922
73110,01923
73110,01929
73110,01930
73110,01937
73110,01938
73110,01940
73110,01944
73110,01945
73110,01949
73110,01950
73110,01951
73110,01952
73110,01960
73110,01965
73110,01966
73110,01969
73110,01970
73110,01982
73110,01983
73110,01984
73110,01985
73110,02019
73110,02021
73110,02025
73110,02026
73110,02030
73110,02032
73110,02035
73110,02038
73110,02043
73110,02045
73110,02047
73110,02048
73110,02050
73110,02052
73110,02053
73110,02054
73110,02056
73110,02061
73110,02062
73110,02066
73110,02067
73110,02071
73110,02072
73110,02081
73110,02090
73110,02093
73110,02108
73110,02109
73110,02110
73110,02111
73110,02113
73110,02114
73110,02115
73110,02116
73110,02118
73110,02119
73110,02120
73110,02121
73110,02122
73110,02124
73110,02125
73110,02126
73110,02127
73110,02128
73110,02129
73110,02130
73110,02131
73110,02132
73110,02133
73110,02134
73110,02135
73110,02136
73110,02138
73110,02139
73110,02140
73110,02141
73110,02142
73110,02143
73110,02144
73110,02145
73110,02148
73110,02149
73110,02150
73110,02151
73110,02152
73110,02155
73110,02163
73110,02169
73110,02170
73110,02171
73110,02176
73110,02180
73110,02184
73110,02186
73110,02188
73110,02189
73110,02190
73110,02191
73110,02199
73110,02203
73110,02205
73110,02210
73110,02215
73110,02301
73110,02302
73110,02322
73110,02324
73110,02325
73110,02330
73110,02332
73110,02333
73110,02338
73110,02339
73110,02341
73110,02343
73110,02346
73110,02347
73110,02350
73110,02351
73110,02356
73110,02357
73110,02359
73110,02360
73110,02364
73110,02366
73110,02367
73110,02368
73110,02370
73110,02375
73110,02379
73110,02382
73110,02420
73110,02421
73110,02445
73110,02446
73110,02451
73110,02452
73110,02453
73110,02457
73110,02458
73110,02459
73110,02460
73110,02461
73110,02462
73110,02464
73110,02465
73110,02466
73110,02467
73110,02468
73110,02472
73110,02474
73110,02476
73110,02478
73110,02481
73110,02482
73110,02492
73110,02493
73110,02494
73110,02532
73110,02534
73110,02535
73110,02536
73110,02537
73110,02538
73110,02539
73110,02540
73110,02542
73110,02543
73110,02553
73110,02554
73110,02556
73110,02557
73110,02558
73110,02559
73110,02561
73110,02562
73110,02563
73110,02564
73110,02568
73110,02571
73110,02575
73110,02576
73110,02584
73110,02601
73110,02630
73110,02631
73110,02632
73110,02633
73110,02635
73110,02637
73110,02638
73110,02639
73110,02641
73110,02642
73110,02643
73110,02644
73110,02645
73110,02646
73110,02647
73110,02648
73110,02649
73110,02650
73110,02652
73110,02653
73110,02655
73110,02657
73110,02659
73110,02660
73110,02663
73110,02664
73110,02666
73110,02667
73110,02668
73110,02670
73110,02671
73110,02672
73110,02673
73110,02675
73110,02702
73110,02703
73110,02713
73110,02715
73110,02717
73110,02718
73110,02719
73110,02720
73110,02721
73110,02723
73110,02724
73110,02725
73110,02726
73110,02738
73110,02739
73110,02740
73110,02743
73110,02744
73110,02745
73110,02746
73110,02747
73110,02748
73110,02760
73110,02762
73110,02763
73110,02764
73110,02766
73110,02767
73110,02769
73110,02770
73110,02771
73110,02777
73110,02779
73110,02780
73110,02790
73110,02791
73110,02802
73110,02804
73110,02806
73110,02807
73110,02808
73110,02809
73110,02812
73110,02813
73110,02814
73110,02815
73110,02816
73110,02817
73110,02818
73110,02822
73110,02823
73110,02824
73110,02825
73110,02826
73110,02827
73110,02828
73110,02829
73110,02830
73110,02831
73110,02832
73110,02833
73110,02835
73110,02836
73110,02837
73110,02838
73110,02839
73110,02840
73110,02841
73110,02842
73110,02852
73110,02857
73110,02858
73110,02859
73110,02860
73110,02861
73110,02863
73110,02864
73110,02865
73110,02871
73110,02872
73110,02873
73110,02874
73110,02875
73110,02876
73110,02878
73110,02879
73110,02881
73110,02882
73110,02885
73110,02886
73110,02888
73110,02889
73110,02891
73110,02892
73110,02893
73110,02894
73110,02895
73110,02896
73110,02898
73110,02903
73110,02904
73110,02905
73110,02906
73110,02907
73110,02908
73110,02909
73110,02910
73110,02911
73110,02912
73110,02914
73110,02915
73110,02916
73110,02917
73110,02918
73110,02919
73110,02920
73110,02921
73110,03031
73110,03032
73110,03033
73110,03034
73110,03036
73110,03037
73110,03038
73110,03042
73110,03043
73110,03044
73110,03045
73110,03046
73110,03047
73110,03048
73110,03049
73110,03051
73110,03052
73110,03053
73110,03054
73110,03055
73110,03057
73110,03060
73110,03062
73110,03063
73110,03064
73110,03070
73110,03071
73110,03076
73110,03077
73110,03079
